dpy,metric,n_base,n_trauma,median_base,median_trauma,delta_median,mean_base,mean_trauma,delta_mean,mwu_p,cliffs_d,note
1,tb_polarity,630,616,0.0,0.0,0.0,-0.0055,-0.011,-0.0055,0.8174,-0.0065,
1,vader_compound,630,616,0.0,0.0,0.0,0.0102,0.0116,0.0014,0.7971,0.0074,
12,tb_polarity,1175,1123,0.0,0.0,0.0,0.0001,0.0055,0.0054,0.8719,-0.0033,
12,vader_compound,1175,1123,0.0,0.0,0.0,0.0256,0.0226,-0.003,0.8929,-0.0029,
52,tb_polarity,1555,1553,0.0,0.0,0.0,0.0175,0.0058,-0.0117,0.0209,0.0412,
52,vader_compound,1555,1553,0.0,0.0,0.0,0.0438,0.0392,-0.0046,0.7811,0.0051,
365,tb_polarity,1481,1442,0.0,0.0,0.0,0.0162,0.0249,0.0086,0.4265,-0.0146,
365,vader_compound,1481,1442,0.0,0.0,0.0,0.0598,0.0735,0.0137,0.2317,-0.0225,
