dpy,mental_state,personality,metric,n_base,n_trauma,median_base,median_trauma,delta_median,mean_base,mean_trauma,delta_mean,mwu_p,cliffs_d,note
12,afraid,curious,vader_compound,38,30,-0.0514,0.0,0.0514,-0.1171,0.0466,0.1637,0.1713,-0.1947,
12,afraid,empathetic,tb_polarity,18,22,0.1296,0.0,-0.1296,0.1412,-0.014,-0.1552,0.081,0.3258,
12,afraid,empathetic,vader_compound,18,22,0.3711,0.0,-0.3711,0.2668,-0.0003,-0.267,0.131,0.2828,
12,anxious,aggressive,tb_polarity,9,12,0.0,-0.0333,-0.0333,-0.1661,-0.0273,0.1388,0.3318,-0.2593,
12,anxious,aggressive,vader_compound,9,12,0.0,-0.3106,-0.3106,-0.0993,-0.1275,-0.0282,0.8035,0.0741,
12,anxious,brave,tb_polarity,31,18,0.0,0.0903,0.0903,0.0726,0.1339,0.0613,0.3766,-0.1505,
12,anxious,brave,vader_compound,31,18,0.0,0.0828,0.0828,0.0368,0.1819,0.1451,0.4151,-0.1416,
12,anxious,cautious,tb_polarity,19,13,0.0,0.0,0.0,-0.0065,-0.0722,-0.0657,0.9688,-0.0121,
12,anxious,cautious,vader_compound,19,13,0.0,0.0,0.0,0.1658,-0.0753,-0.2411,0.2269,0.2551,
12,anxious,curious,tb_polarity,26,30,0.0,0.0,0.0,-0.0688,0.0696,0.1383,0.0938,-0.259,
12,anxious,curious,vader_compound,26,30,0.0,0.0,0.0,0.0359,0.0249,-0.011,0.9467,0.0115,
12,anxious,empathetic,tb_polarity,9,16,0.0,0.0,0.0,0.0061,0.041,0.0349,0.9307,0.0278,
12,anxious,empathetic,vader_compound,9,16,0.0,-0.1416,-0.1416,0.1695,-0.0582,-0.2276,0.244,0.2917,
12,calm,aggressive,tb_polarity,0,0,,,,,,,,,insufficient data
12,calm,aggressive,vader_compound,0,0,,,,,,,,,insufficient data
12,calm,brave,tb_polarity,0,0,,,,,,,,,insufficient data
12,calm,brave,vader_compound,0,0,,,,,,,,,insufficient data
12,calm,cautious,tb_polarity,0,0,,,,,,,,,insufficient data
12,calm,cautious,vader_compound,0,0,,,,,,,,,insufficient data
12,calm,curious,tb_polarity,1,0,,,,,,,,,insufficient data
12,calm,curious,vader_compound,1,0,,,,,,,,,insufficient data
12,calm,empathetic,tb_polarity,0,0,,,,,,,,,insufficient data
12,calm,empathetic,vader_compound,0,0,,,,,,,,,insufficient data
12,determined,aggressive,tb_polarity,1,3,,,,,,,,,insufficient data
12,determined,aggressive,vader_compound,1,3,,,,,,,,,insufficient data
12,determined,brave,tb_polarity,8,13,0.0,0.0,0.0,-0.0055,-0.0016,0.0039,0.8782,0.0481,
12,determined,brave,vader_compound,8,13,-0.1994,-0.1779,0.0214,-0.1348,-0.2476,-0.1128,0.7132,0.1058,
12,determined,cautious,tb_polarity,7,7,0.0,-0.0329,-0.0329,0.0514,0.0351,-0.0163,0.4718,0.2449,
12,determined,cautious,vader_compound,7,7,-0.5267,0.0,0.5267,-0.325,0.0169,0.342,0.2003,-0.4286,
12,determined,curious,tb_polarity,9,13,0.0,0.0,0.0,-0.0821,-0.0785,0.0036,0.8332,0.0598,
